  Energy  39.57K_10T  39.59K_7T  39.575K_5T  39.59K_3T  19.29K_10T  19.295K_7T  19.3K_5T  19.31K_3T  9.775K_10T  9.78K_7T  9.795K_5T   9.8K_3T  4.995K_10T  5.02K_7T  5.055K_5T  5.04K_3T  2.68K_10T  2.62K_7T  2.64K_5T  2.63K_3T
 9505.70     -7.6100    -0.7793     -8.0214    -1.5799     -6.0193     -2.9274   -3.8898     0.3577     -2.5045   -1.0294     0.3896   -2.1028     -0.6917   -5.8687    -0.8697   -4.8221    -3.5506    2.4604    4.6621   -0.2800
 9514.75     -6.9570    -2.2701      1.1746     2.8144     -1.8833     -3.2953   -0.5093    -5.0420     -0.4200    2.3802    -0.8243   -3.2273      4.7249    0.6223     1.8860   -1.4124    -0.1773   -6.4131    7.5712    4.0904
 9523.81      1.6300    -2.1485      2.5532     7.7841     -2.6547      2.1735   -6.8953    -1.6339      1.0187   -3.6141    -1.0410    1.9095      3.7978   -7.0959     2.1657    3.2448    -3.7733    0.7591    3.6735    0.0334
 9532.89     -5.9647    -3.1995     -4.9844    -2.9729     -4.5105      2.3385    6.7908     0.3424     -2.0545    4.3370     3.3127   -0.3412     -2.8594   -5.9156     0.1446   -1.3460    -0.7486    0.7819   -1.0668    0.6355
 9541.98     -2.1533    -7.1872     -0.8567     1.7274     -9.0566      1.6177   -1.4585    -2.1333      3.5151    3.7395    -1.3361   -0.4353     -0.8667    4.7146    -0.9605    0.9616     1.1178   -1.9834   -3.4818    0.5166
 9551.10     -5.0419    -1.1308     -4.3217    -0.7590     -0.8315     -8.5474    1.7649     7.6131      3.9930    3.9178    -0.7854    1.8580      1.2606   -3.8220    -1.6045    8.4802     5.2094    1.7565    0.6522    1.9705
 9560.23      3.5517    -6.1483     -5.9837     4.2087      4.4894      2.2080    3.6085    -2.1392     -4.8835    5.1772    -5.1986   -2.6869     -3.7726    9.4942     3.9734    1.6905     0.4301    3.6135   -4.5393    1.8424
 9569.38     -1.4817    -4.0156     -1.2824     1.4017     -0.3027     -2.5000    3.4491    -0.2350      3.1657    3.4023     5.1702   -1.3211      2.0708    5.5631    -1.4137   -5.5735     2.1785   -0.8857   -3.0102    1.5747
 9578.54      1.1806    -4.0194     -3.8226    -3.5627      6.0701      3.9944    7.4359    -0.1272      1.4234    5.0790    -2.1033   -0.1830      0.2433   -2.4882     0.7195   -4.1315     7.6876   -2.3123   -1.5517    0.1840
 9587.73      5.3576    -0.9021      6.0342    -0.8768     11.7977      1.1805   -1.3332    -0.5944     -0.2216    4.5602     4.3076    7.6762      5.5540    0.1026    -1.0699    2.0636     3.1263   -4.4174    2.1904   -4.8862
 9596.93     -2.2662     5.2700     -2.0629     0.2051      5.3573      8.5946    3.9642     0.4981      3.3216    5.0982     2.5197   -2.0039      0.7260    6.7190    -0.2515   -0.3755     1.3712   -2.1356    2.0955    3.8604
 9606.15      6.3745    12.2911      5.3014    -3.1116      5.7842      5.7888    5.5582     4.4815      6.3321   -0.0447     0.4113    3.0801      4.4985    2.1095     7.8750    1.6893     5.6225    3.2131   -3.1416   -0.4663
 9615.38      8.0552     1.8443     -1.8925    -0.3744      7.2535      2.5807    7.3737     7.8692      8.2514    1.7428     6.3309    2.2028      8.8372    3.5248     6.8545   -2.6783     6.9474   10.3068    0.9673   -1.1783
 9624.64      5.6926     1.4294     -0.8092     0.5929      7.1232      6.9386    1.7856     4.8308      9.9768    2.7454     2.9699    2.2112     -1.3688    3.2841     4.3500    2.5347     5.7413   -0.3853    9.2928    2.3501
 9633.91      6.5730     0.5035      8.9315    -5.1833      5.5060      3.8580    3.0873    -2.1075      4.6922    1.3358     3.5477   -2.7189     10.4234    2.1115     3.8733   -0.7267    -0.3803    3.4645    6.3479    1.9201
 9643.20     11.3630    -2.4331     -3.4230     3.1271      6.1505      5.0403    1.7762    -2.4682      6.4551    1.0317     4.0128    3.3788     -0.4822    5.4315     5.2616   -0.5928     2.7602    3.5838    2.5809   -0.2111
 9652.51      3.0903     0.7008      0.1999     0.9270      0.1784     -0.7245    3.1473     4.9851      6.9261    1.6866    -4.5580   -5.3361      3.0260    3.9069    -2.7443    3.5756     3.0015    4.5480    0.4400   -1.1944
 9661.84     -1.4611    -1.1381     -1.1793    -3.1636      1.0505     -1.5759   -2.3313     3.9668      5.8380   -1.2523     0.5426    6.1035     -1.0855    1.6098     1.4781   -0.4232     5.8562    3.0422    6.2205   10.4955
 9671.18     -0.8729     0.2252      0.7395    -2.3956      0.8501     -2.3271    1.4822     1.7664     -1.0355    2.8652     1.7997    1.9263      1.4647    7.3840     6.7107    5.0343     7.3403    3.4314    3.4634    2.1450
 9680.54     -6.3594    -0.4309     -1.2144    -0.5954      1.0880     -0.4850   -4.2889    -4.5216      5.6139    0.2564    -1.5031    4.9510      4.9128   -0.1593     0.7803    4.8125     8.6558    6.0967    0.5514   -2.4033
 9689.92     -3.7003    -3.5492     -2.5289     3.7134     -5.5474     -0.4039   -4.0234    -0.8846      1.7391    1.2045    -1.9235   -2.3065      4.8716   -0.3415     3.5306    3.1221     5.4535    6.3673    8.9970    0.8770
 9699.32     -5.9307    -9.7685     -1.6114    -3.9942     -5.5891     -1.4816   -0.0987    -1.9071      0.7588    1.9423     3.0504    0.8495      4.4800    8.3364     6.7315    5.2765     6.4592    4.1012    7.5305   -3.3979
 9708.74     -6.4900    -7.9899     -5.0681    -4.6721     -5.4544     -1.7646   -4.2289    -5.4373     -1.0934    1.3302     1.1072    3.0795      6.0610    4.1612     4.6814    3.1889     8.7355    9.4990    7.1404    5.8163
 9718.17    -16.4409    -5.3331     -7.8198    -6.6512     -9.5165     -8.2312   -3.3459    -1.9065      3.2419    3.8040     4.9405    1.4317      6.5572    5.9502     5.9174    2.5099     1.7411    2.8866    4.5560    5.5184
 9727.63    -12.9991    -6.4985     -3.8354    -1.2510     -8.3821     -2.9034   -2.4022    -3.7829      0.6578    0.7106     5.5831   -1.1105      4.7012    3.6512     2.9201   -0.6334     4.6132    4.0738    5.3626    3.3216
 9737.10     -7.3064   -14.0285     -6.1619     0.3118     -8.0207     -8.3387   -8.0332    -1.6730     -2.7689    4.5323    -1.0685   -2.2746      3.5797    4.7500     1.6943    2.9019     5.7054    7.6646    0.0662    2.8567
 9746.59     -9.8459    -8.4085     -8.6428    -9.6781     -9.9688     -5.3019   -6.5693    -4.0637     -1.9175    1.5364    -0.4234    0.3644      4.4288    5.6417     5.6522    1.9400     9.3259    5.8522    5.1153    3.0445
 9756.10    -10.4653   -12.5053     -5.0048    -4.3242     -7.5764    -10.7669   -6.9192    -2.5103     -1.5921    0.9920     4.6606   -1.4723      5.9662    4.1255     3.6515    3.4945     5.9745    6.9889    6.4394    5.1744
 9765.62    -17.3525    -9.8708     -6.7743    -8.0602    -14.0768     -7.6075   -6.4545    -3.2441     -0.7544    0.8954     2.3046    2.7066      8.7712   14.7316     6.2339    5.0016     8.7662    3.8687    4.7745    4.2638
 9775.17    -14.5807   -10.2514     -4.5282    -3.9436    -11.5070     -6.6410   -7.0453    -4.1572     -2.6732    4.4769     3.0983    0.6775      3.5517    5.5014     4.8115    3.0572     3.9303    3.9633    0.2500    8.0923
 9784.74    -19.9720   -12.3376     -8.1459    -7.7291    -14.0125    -10.0136   -6.6552    -5.3675      1.2674    0.4336    -1.7501   -0.5643      4.0353    5.8365     6.6330    6.6374     8.9705    4.2719    3.5650    7.0294
 9794.32    -17.7251   -10.8320    -11.2335   -11.1160    -13.6378    -11.7541   -5.1397    -2.9719     -2.1619    2.9626     1.5471    1.6581      5.4074    6.4564     8.5029    7.7971     7.8141    3.9034   13.9517    1.1446
 9803.92    -16.9122   -21.3340    -10.2881    -8.6005    -17.8769    -11.1265   -7.1008    -7.0907      1.8426    5.3148    -4.6482    0.3453      8.0018    3.4466     9.3585    0.9061     8.6603    8.7615    7.4178    3.7410
 9813.54    -16.7026   -12.3088     -7.0160    -6.5368    -17.2880    -12.7537   -8.0793    -4.7393     -0.0993    0.9428    -0.5464   -2.9386      7.3403    6.2397     7.8405    1.1628     7.6442   16.3550    1.7725    5.0228
 9823.18    -17.2562   -14.3720     -7.4971    -8.2963    -16.2345    -13.7860   -7.7523    -0.4937     -1.4942   -1.9498     1.0795    1.3794      9.9982    9.0823     8.5459    5.9456     7.8409   14.0969    7.5120    5.1268
 9832.84    -21.2017   -16.6067    -10.4461    -7.3065    -20.8437    -13.7414   -8.9051    -0.6974      0.5962    2.4883     4.7873    3.9185      6.3137   11.9216     2.8737    8.4518    12.3693   12.8480   11.6341    7.3784
 9842.52    -26.1060   -13.2387     -9.6377    -8.8088    -20.4478    -13.8909  -10.7546    -4.7694     -4.2888    1.0697     1.0339    1.6202      6.9693    7.7984     5.8233    8.1077    13.2314   12.8190   10.8112    3.9292
 9852.22    -21.1405   -14.6339     -9.9291    -4.4123    -17.9275    -14.4771   -9.1701    -6.5494     -1.2399   -0.0156     1.5386    1.1671      8.6842   10.6769     8.9027    2.8791    13.6541   12.6052    7.8410    6.3579
 9861.93    -21.3576   -15.4299     -8.4548    -7.2763    -18.3126    -16.3053   -9.1578    -8.4490      2.2675    2.8923     0.0487    1.4654      9.4700    9.0578     8.2677    6.6853    12.0820   17.1301   10.5572    7.1547
 9871.67    -25.7782   -18.4733    -11.9729    -5.7071    -17.7306    -16.7039   -9.6835    -8.5642     -2.6099    3.6125     2.8990    2.6916     12.0641   14.1013    11.3579    8.0420    17.1548   11.5511   15.0549    8.4614
 9881.42    -25.6125   -13.8473    -12.7450    -8.7963    -22.5875    -15.1143   -6.9597    -8.6485     -2.0683    4.4710     8.8414    2.2279     12.4154   14.1169    10.4665    8.0611    12.5564   16.6552   15.8822    8.4999
 9891.20    -27.1423   -19.6170    -14.4795    -9.1501    -21.9697    -18.3617  -10.7578    -6.5744     -0.3205    1.5981     3.9069    2.8924     15.8520   12.9672    12.4464    6.4190    16.9014   17.2940   16.2217    8.0356
 9900.99    -28.2908   -17.1026    -14.5918    -8.0207    -24.7118    -15.8194  -13.7477    -3.8778     -0.5251   -0.8694     2.5422    4.7620     14.1292   15.4433    13.1933    6.1616    20.9212   18.9746   12.7007    9.8255
 9910.80    -28.4095   -21.7959    -14.8889   -11.9354    -25.6792    -19.0740  -15.6457    -8.2679      1.4202    3.3828     8.9484    2.3136     14.6636   14.5651    11.4879    9.9170    20.1976   17.9586   16.4516    8.3783
 9920.63    -29.4468   -21.6759    -11.1534    -8.7466    -25.7399    -17.4295  -13.7145    -7.7378      1.3083    3.1151     5.1322    3.0767     14.6729   14.1416    11.9785    7.7107    23.6127   18.4964   15.7292    7.6528
 9930.49    -32.2004   -23.5840    -19.9579    -8.9653    -29.2056    -16.9474  -13.1508    -8.2822      4.8772    4.6987     3.0289    3.6625     19.1459   15.1379    14.2161   12.0997    17.5938   18.4485   17.0714   10.4730
 9940.36    -31.8611   -20.1846    -19.1528   -12.7316    -26.4676    -20.4060  -11.9254    -7.4689     -0.4381    9.5581     8.0007    4.0186     19.5603   17.9327    14.8089   10.8782    21.5177   19.1121   16.4425   12.0289
 9950.25    -32.0616   -24.4325    -18.4793   -12.5087    -27.3547    -20.6133  -14.3044    -9.2332      1.3663    4.0418     6.3599    2.9121     17.9421   20.5530    16.9214   10.0304    27.4836   22.0011   18.0831    7.4381
 9960.16    -37.7923   -25.6902    -20.3956   -12.5666    -31.5727    -23.6178  -14.5417    -8.1479      2.1724    4.4909     6.7118    7.8749     23.6936   26.9458    17.4087   14.4155    24.5792   23.5883   22.1874    8.1545
 9970.09    -34.7989   -25.8617    -18.9771    -9.5143    -28.2000    -20.7138  -13.3963    -8.8135      7.0833    6.0720     4.9261    3.0276     26.4958   28.6619    19.9282   17.6784    28.2779   25.0287   20.9169   11.2918
 9980.04    -38.1449   -27.4413    -20.3674   -10.0799    -29.4574    -20.3757  -17.1613    -6.9028      5.1249    7.6395    10.1000    3.4422     26.1746   27.1036    19.4196   12.7502    32.4558   26.4738   19.5907   15.3567
 9990.01    -38.2564   -27.5996    -20.6080   -14.1623    -34.6217    -23.5474  -19.1186    -9.2579      8.2087   10.1182     8.4926    5.7517     28.2364   29.2174    24.4080   12.5825    33.6088   29.0038   25.3396   18.0575
10000.00    -40.9302   -26.5377    -23.6623    -9.5692    -30.3720    -21.4770  -14.1184   -10.0982      7.9209   14.4744    10.8063    4.9623     29.9220   30.1975    23.5645   15.2416    35.6943   34.1572   28.6159   17.6367
10010.01    -43.4605   -26.9454    -21.3553   -10.7683    -33.7636    -23.0050  -15.7173   -10.3153      9.4707   14.5265    13.1502    7.6159     35.5902   32.7380    26.7253   18.6414    40.6551   37.2811   33.8008   20.9451
10020.04    -45.0962   -33.3000    -21.0189   -13.9641    -33.7912    -21.5144  -14.9754    -8.6590     11.2278   15.0486    12.2670    5.1342     35.2856   35.2610    27.7142   20.0715    42.0162   36.5102   32.3642   23.1716
10030.09    -42.8239   -30.8630    -23.6028   -12.7062    -33.0125    -27.3565  -17.7418    -7.9622     10.7454   16.6674    14.6737    9.4732     38.9198   35.9055    32.4598   17.8156    45.1611   41.4729   32.7776   20.6651
10040.16    -46.4972   -29.2997    -25.4550   -15.7434    -35.7838    -20.1850  -16.6957    -9.2006     16.1332   18.4553    15.4988    9.4790     43.4852   36.9195    33.0841   21.7942    49.6692   42.6201   32.8491   20.2528
10050.25    -46.6296   -34.7684    -25.5283   -14.3198    -34.5825    -22.7819  -16.7963    -6.8353     18.6416   17.3644    17.3663   14.0828     47.8066   42.7876    34.7533   21.3740    50.6195   45.7672   38.2426   25.3445
